treatment_id,treatment_name,treatment_type,target_action,status,last_published
16150700,Post Purchase with Personalized Fitment Recommendations – Thanks,personalized_fitment,consumer_website_order,Live,2025-12-07
20142778,Post Purchase with Personalized Fitment Recommendations – Warm Welcome,personalized_fitment,consumer_website_order,Live,2025-12-07
20142785,Post Purchase with Personalized Fitment Recommendations – Relatable Wrencher,personalized_fitment,consumer_website_order,Live,2025-12-07
20142804,Post Purchase with Personalized Fitment Recommendations – Completer,personalized_fitment,consumer_website_order,Live,2025-12-07
20142811,Post Purchase with Personalized Fitment Recommendations – Momentum,personalized_fitment,consumer_website_order,Live,2025-12-07
20142818,Post Purchase with Personalized Fitment Recommendations – Weekend Warrior,personalized_fitment,consumer_website_order,Live,2025-12-07
20142825,Post Purchase with Personalized Fitment Recommendations – Visionary,personalized_fitment,consumer_website_order,Live,2025-12-07
20142832,Post Purchase with Personalized Fitment Recommendations – Detail Oriented,personalized_fitment,consumer_website_order,Live,2025-12-07
20142839,Post Purchase with Personalized Fitment Recommendations – Expert Pick,personalized_fitment,consumer_website_order,Live,2025-12-07
20142846,Post Purchase with Personalized Fitment Recommendations – Look Back,personalized_fitment,consumer_website_order,Live,2025-12-07
