treatment_id,treatment_name,treatment_type,target_action,status,last_published
16490932,Post Purchase with Static Recommendations - Sniper 2 Bluetooth Available,static,consumer_website_order,Live,2025-12-07
16490939,Post Purchase with Static Recommendations - Holley Apparel & Collectibles,static,consumer_website_order,Live,2025-12-07
16518436,Post Purchase with Static Recommendations - Air Cleaners General,static,consumer_website_order,Live,2025-12-07
16518443,Post Purchase with Static Recommendations - Retrobright,static,consumer_website_order,Live,2025-12-07
16564380,Post Purchase with Static Recommendations - Mr. Gasket Related Brands,static,consumer_website_order,Live,2025-12-07
16564387,Post Purchase with Static Recommendations - Tools,static,consumer_website_order,Live,2025-12-07
16564394,Post Purchase with Static Recommendations - Exhaust,static,consumer_website_order,Live,2025-12-07
16564401,Post Purchase with Static Recommendations - Cold Air Intakes,static,consumer_website_order,Live,2025-12-07
16564408,Post Purchase with Static Recommendations - Engine Hardware,static,consumer_website_order,Live,2025-12-07
16564415,Post Purchase with Static Recommendations - Brothers - Interior,static,consumer_website_order,Live,2025-12-07
16564423,Post Purchase with Static Recommendations - Brothers - LED Headlights,static,consumer_website_order,Live,2025-12-07
16564431,Post Purchase with Static Recommendations - Brothers - Grilles,static,consumer_website_order,Live,2025-12-07
16564439,Post Purchase with Static Recommendations - Brothers - Steering Column,static,consumer_website_order,Live,2025-12-07
16564447,Post Purchase with Static Recommendations - Brothers - Exterior,static,consumer_website_order,Live,2025-12-07
16564455,Post Purchase with Static Recommendations - Brothers - Interior 2,static,consumer_website_order,Live,2025-12-07
16564463,Post Purchase with Static Recommendations - Brothers - Body/Rust Repair,static,consumer_website_order,Live,2025-12-07
16593451,Post Purchase with Static Recommendations - Brothers - Restoration,static,consumer_website_order,Live,2025-12-07
16593459,Post Purchase with Static Recommendations - Terminator X Transactional,static,consumer_website_order,Live,2025-12-07
16593467,Post Purchase with Static Recommendations - Terminator X Suggested Parts,static,consumer_website_order,Live,2025-12-07
16593475,Post Purchase with Static Recommendations - Terminator X CAN Input Output,static,consumer_website_order,Live,2025-12-07
16593483,Post Purchase with Static Recommendations - Wheels,static,consumer_website_order,Live,2025-12-07
16593491,Post Purchase with Static Recommendations - Tuners and Programmers,static,consumer_website_order,Live,2025-12-07
